ccounty,precinct,office,district,candidate,party,votes
Cass,"Howard Township, Precinct 2",County Sheriff,,Unresolved Write-In,,18
Cass,"Howard Township, Precinct 2",County Clerk and Register of Deeds,,Monica McMichael,REP,507
Cass,"Howard Township, Precinct 2",County Clerk and Register of Deeds,,Unresolved Write-In,,16
Cass,"Howard Township, Precinct 2",County Treasurer,,Hope Anderson,REP,508
Cass,"Howard Township, Precinct 2",County Treasurer,,Unresolved Write-In,,18
Cass,"Howard Township, Precinct 2",County Drain Commissioner,,Jeff VanBelle,REP,502
Cass,"Howard Township, Precinct 2",County Drain Commissioner,,Unresolved Write-In,,19
Cass,"Howard Township, Precinct 2",County Surveyor,,Thomas A. Stephenson,NPA,257
Cass,"Howard Township, Precinct 2",County Surveyor,,Unresolved Write-In,,17
Cass,"Howard Township, Precinct 2",County Commissioner 4th District,,Jeremiah Justin Jones,REP,411
Cass,"Howard Township, Precinct 2",County Commissioner 4th District,,Unresolved Write-In,,16
Cass,"Howard Township, Precinct 2",County Commissioner 6th District,,Samuel Barrera,REP,99
Cass,"Howard Township, Precinct 2",County Commissioner 6th District,,Total Unresolved Write-In,,1
Cass,"Howard Township, Precinct 2",Howard Township Supervisor,,Billy J. Kasprzak,REP,509
Cass,"Howard Township, Precinct 2",Howard Township Supervisor,,Unresolved Write-In,,16
Cass,"Howard Township, Precinct 2",Howard Township Clerk,,Sheri Wozniak,DEM,289
Cass,"Howard Township, Precinct 2",Howard Township Clerk,,Unresolved Write-In,,35
Cass,"Howard Township, Precinct 2",Howard Township Treasurer,,Michael Gordon,REP,513
Cass,"Howard Township, Precinct 2",Howard Township Treasurer,,Unresolved Write-In,,26
Cass,"Howard Township, Precinct 2",Howard Township Trustee,,Phillip Hurlbutt,DEM,217
Cass,"Howard Township, Precinct 2",Howard Township Trustee,,Gary Conover,REP,446
Cass,"Howard Township, Precinct 2",Howard Township Trustee,,Hank Johnson,REP,450
Cass,"Howard Township, Precinct 2",Howard Township Trustee,,David E. Kroa,REP,434
Cass,"Howard Township, Precinct 2",Howard Township Trustee,,Unresolved Write-In,,17
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Jan Gordon,DEM,199
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Terri Jo Hable,DEM,184
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Debbie Floor,REP,463
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Marcia Pedzinski,REP,429
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Erika Pickles,NPA,143
Cass,"Howard Township, Precinct 2",Howard Township Park Commissioner,,Unresolved Write-In,,17
Cass,"Howard Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Andrew Fink,,222
Cass,"Howard Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,224
Cass,"Howard Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,25
Cass,"Howard Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,229
Cass,"Howard Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,214
Cass,"Howard Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Total Unresolved Write-In,,22
Cass,"Howard Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,242
Cass,"Howard Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,286
Cass,"Howard Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,25
Cass,"Howard Township, Precinct 2",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,379
Cass,"Howard Township, Precinct 2",Judge of Probate Court Incumbent Position,,Unresolved Write-In,,22
Cass,"Howard Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,233
Cass,"Howard Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,279
Cass,"Howard Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,21
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Arin Johnson,,25
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Alan Miller,,24
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Tammy Niemier,,40
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Tony Overmyer,,46
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Nick Yoder,,37
Cass,"Howard Township, Precinct 2",Edwardsburg Public Schools Board Member,,Total Unresolved Write-In,,0
Cass,"Howard Township, Precinct 2",Niles Community Schools Board Member 6 Year Term,,David Fish,,292
Cass,"Howard Township, Precinct 2",Niles Community Schools Board Member 6 Year Term,,Paulette Johnson WRITE-IN,,0
Cass,"Howard Township, Precinct 2",Niles Community Schools Board Member 6 Year Term,,Unresolved Write-In,,23
Cass,"Howard Township, Precinct 2",Niles Community Schools Board Member Partial Term Ending 12/31/2028,,Kelly Gaideski,,300
Cass,"Howard Township, Precinct 2",Niles Community Schools Board Member Partial Term Ending 12/31/2028,,Unresolved Write-In,,18
Cass,"Howard Township, Precincts 1 & 2",Registered Voters,,,,4588
Cass,"Howard Township, Precincts 1 & 2",Ballots Cast,,,,1270
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Democratic Party,DEM,348
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Republican Party,REP,451
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Libertarian Party,LIB,0
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Green Party,GRN,2
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Working Class Party,WCP,5
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Natural Law Party,NLP,1
Cass,"Howard Township, Precincts 1 & 2",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Howard Township, Precincts 1 & 2",President,,Kamala D. Harris/Tim Walz,DEM,577
Cass,"Howard Township, Precincts 1 & 2",President,,Donald J. Trump/JD Vance,REP,671
Cass,"Howard Township, Precincts 1 & 2",President,,Chase Oliver/Mike ter Maat,LIB,1
Cass,"Howard Township, Precincts 1 & 2",President,,Randall Terry/Stephen E. Broden,UST,1
Cass,"Howard Township, Precincts 1 & 2",President,,Jill Stein/Rudolph Ware,GRN,3
Cass,"Howard Township, Precincts 1 & 2",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,5
Cass,"Howard Township, Precincts 1 & 2",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"Howard Township, Precincts 1 & 2",President,,Cornel West/Melina Abdullah,NPA,1
Cass,"Howard Township, Precincts 1 & 2",President,,Peter Sonski,WRITE-IN,0
Cass,"Howard Township, Precincts 1 & 2",President,,Unresolved Write-In,,2
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Elissa Slotkin,DEM,550
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Mike Rogers,REP,666
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Joseph Solis-Mullen,LIB,3
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Dave Stein,UST,4
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Douglas P. Marsh,GRN,5
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Doug Dern,NLP,3
Cass,"Howard Township, Precincts 1 & 2",United States Senator,,Unresolved Write-In,,2
Cass,"Howard Township, Precincts 1 & 2",U.S. House,5,Libbi Urban,DEM,523
Cass,"Howard Township, Precincts 1 & 2",U.S. House,5,Tim Walberg,REP,690
Cass,"Howard Township, Precincts 1 & 2",U.S. House,5,James Bronke,GRN,9
Cass,"Howard Township, Precincts 1 & 2",U.S. House,5,Unresolved Write-In,,0
Cass,"Howard Township, Precincts 1 & 2",State House,37,Angela Jones,DEM,505
Cass,"Howard Township, Precincts 1 & 2",State House,37,Brad Paquette,REP,723
Cass,"Howard Township, Precincts 1 & 2",State House,37,Unresolved Write-In,,5
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Theodore Jones,DEM,505
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Adam Frederick Zemke,DEM,496
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Tom McMillin,REP,622
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Nikki Snyder,REP,634
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Scotty Boman,LIB,15
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Ted Gerrard,UST,8
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Christine C. Schwartz,UST,12
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Mary Anne Hering,WCP,34
Cass,"Howard Township, Precincts 1 & 2",Member of the State Board of Education,,Unresolved Write-In,,2
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Denise llitch,DEM,506
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,497
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Carl Meyers,REP,644
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Sevag Vartanian,REP,553
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Andrew Chadderdon,LIB,30
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Donna M. Oetman,UST,31
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Howard Township, Precincts 1 & 2",Regent of the University of Michigan,,Unresolved Write-In,,4
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,514
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Thomas Stallworth III,DEM,480
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Mike Balow,REP,623
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Julie Maday,REP,595
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Grant T. Baker,LIB,22
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Janet M. Sanger,UST,24
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,John Paul Sanger,UST,12
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,John Anthony La Pietra,GRN,5
Cass,"Howard Township, Precincts 1 & 2",Trustee of Michigan State University,,Unresolved Write-In,,2
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Rasha Demashkieh,DEM,471
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Mark T. Gaffney,DEM,492
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Michael Busuito,REP,600
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Sunny Reddy,REP,598
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Fand Ishac,LIB,15
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,William Mohr II,UST,16
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Sami Makhoul,GRN,8
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Suzanne Roehrig,WCP,35
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Kathleen Oakford,NLP,12
Cass,"Howard Township, Precincts 1 & 2",Governor of Wayne State University,,Unresolved Write-In,,5
Cass,"Howard Township, Precincts 1 & 2",County Prosecuting Attorney,,Victor Fitz,REP,815
Cass,"Howard Township, Precincts 1 & 2",County Prosecuting Attorney,,Unresolved Write-In,,21
Cass,"Howard Township, Precincts 1 & 2",County Sheriff,,Clint Roach,REP,813
Cass,"Howard Township, Precincts 1 & 2",County Sheriff,,Unresolved Write-In,,19
Cass,"Howard Township, Precincts 1 & 2",County Clerk and Register of Deeds,,Monica McMichael,REP,805
Cass,"Howard Township, Precincts 1 & 2",County Clerk and Register of Deeds,,Unresolved Write-In,,17
Cass,"Howard Township, Precincts 1 & 2",County Treasurer,,Hope Anderson,REP,806
Cass,"Howard Township, Precincts 1 & 2",County Treasurer,,Unresolved Write-In,,18
Cass,"Howard Township, Precincts 1 & 2",County Drain Commissioner,,Jeff VanBelle,REP,794
Cass,"Howard Township, Precincts 1 & 2",County Drain Commissioner,,Unresolved Write-In,,20
Cass,"Howard Township, Precincts 1 & 2",County Surveyor,,Thomas A. Stephenson,NPA,549
Cass,"Howard Township, Precincts 1 & 2",County Surveyor,,Unresolved Write-In,,13
Cass,"Howard Township, Precincts 1 & 2",County Commissioner 4th District,,Jeremiah Justin Jones,REP,714
Cass,"Howard Township, Precincts 1 & 2",County Commissioner 4th District,,Unresolved Write-In,,20
Cass,"Howard Township, Precincts 1 & 2",County Commissioner 6th District,,Samuel Barrera,REP,79
Cass,"Howard Township, Precincts 1 & 2",County Commissioner 6th District,,Total Unresolved Write-In,,2
Cass,"Howard Township, Precincts 1 & 2",Howard Township Supervisor,,Billy 1. Kasprzak,REP,816
Cass,"Howard Township, Precincts 1 & 2",Howard Township Supervisor,,Unresolved Write-In,,23
Cass,"Howard Township, Precincts 1 & 2",Howard Township Clerk,,Sheri Wozniak,DEM,750
Cass,"Howard Township, Precincts 1 & 2",Howard Township Clerk,,Unresolved Write-In,,30
Cass,"Howard Township, Precincts 1 & 2",Howard Township Treasurer,,Michael Gordon,REP,817
Cass,"Howard Township, Precincts 1 & 2",Howard Township Treasurer,,Unresolved Write-In,,21
Cass,"Howard Township, Precincts 1 & 2",Howard Township Trustee,,Phillip Hurlbutt,DEM,642
Cass,"Howard Township, Precincts 1 & 2",Howard Township Trustee,,Gary Conover,REP,702
Cass,"Howard Township, Precincts 1 & 2",Howard Township Trustee,,Hank Johnson,REP,717
Cass,"Howard Township, Precincts 1 & 2",Howard Township Trustee,,David E. Kroa,REP,665
Cass,"Howard Township, Precincts 1 & 2",Howard Township Trustee,,Unresolved Write-In,,36
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Jan Gordon,DEM,608
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Terri Jo Hable,DEM,576
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Debbie Floor,REP,721
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Marcia Pedzinski,REP,674
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Erika Pickles,NPA,340
Cass,"Howard Township, Precincts 1 & 2",Howard Township Park Commissioner,,Unresolved Write-In,,25
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court 8 Year Term,,Andrew Fink,,333
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,496
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,14
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,494
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,326
Cass,"Howard Township, Precincts 1 & 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Total Unresolved Write-In,,15
Cass,"Howard Township, Precincts 1 & 2",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,502
Cass,"Howard Township, Precincts 1 & 2",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,535
Cass,"Howard Township, Precincts 1 & 2",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,25
Cass,"Howard Township, Precincts 1 & 2",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,623
Cass,"Howard Township, Precincts 1 & 2",Judge of Probate Court Incumbent Position,,Unresolved Write-In,,20
Cass,"Howard Township, Precincts 1 & 2",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,461
Cass,"Howard Township, Precincts 1 & 2",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,590
Cass,"Howard Township, Precincts 1 & 2",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,17
Cass,"Howard Township, Precincts 1 & 2",Cassopolis Public Schools Board Member,,Della Bundle,,4
Cass,"Howard Township, Precincts 1 & 2",Cassopolis Public Schools Board Member,,Joseph Lenex,,12
Cass,"Howard Township, Precincts 1 & 2",Cassopolis Public Schools Board Member,,Amanda Smego,,13
Cass,"Howard Township, Precincts 1 & 2",Cassopolis Public Schools Board Member,,Aaron Steensma,,9
